PMID,assigned?,rule_based,Haley,,Peng Yu,Karthik,Chenwei,Xiaohuan,Yi Weng
29093555,notass,Yes,Y,Exosomes Derived from HIV-1 Infected DCs Mediate Viral trans-Infection via Fibronectin and Galectin-3.,,Y,,,Y
29099035,notass,NA,N,Molecular Characterization of Peripheral Extracellular Vesicles in Clinically Isolated Syndrome: Preliminary Suggestions from a Pilot Study.,,N,,,N
29104495,notass,Yes,Y,Exosomal miR-7 Mediates Bystander Autophagy in Lung after Focal Brain Irradiation in Mice.,,Y,,,Y
29105655,notass,Yes,Y,Pre-metastatic cancer exosomes induce immune surveillance by patrolling monocytes at the metastatic niche.,,Y,,,Y
29108252,notass,NA,Y,Circulating exosomal microRNA-203 is associated with metastasis possibly via inducing tumor-associated macrophages in colorectal cancer.,,Y,,,Y
29109780,notass,NA,N,Metabolomic Profiling of Extracellular Vesicles and Alternative Normalization Methods Reveal Enriched Metabolites and Strategies to Study Prostate Cancer-Related Changes.,,N,,,N
29111329,notass,Yes,Y,Exosomes derived from pancreatic cancer cells induce activation and profibrogenic activities in pancreatic stellate cells.,,Y,,,Y
29112229,notass,NA,N,Biobehavioral modulation of the exosome transcriptome in ovarian carcinoma.,,N,,,N
29112686,notass,Yes,Y,Interferon regulatory factor 1 priming of tumour-derived exosomes enhances the antitumour immune response.,,N,,,Y
29115712,notass,NA,N,Proteomic Profiling of Exosomes Secreted by Breast Cancer Cells with Varying Metastatic Potential.,,N,,,N
29117219,notass,Yes,Y,Cellular and exosome mediated molecular defense mechanism in bovine granulosa cells exposed to oxidative stress.,,Y,,,Y
29121858,notass,NA,N,Detection of circulating miRNAs: comparative analysis of extracellular vesicle-incorporated miRNAs and cell-free miRNAs in whole plasma of prostate cancer patients.,,N,,,N
29130994,notass,Yes,Y,Enhancement of Anti-Leukemia Immunity by Leukemia-Derived Exosomes Via Downregulation of TGF-β1 Expression.,,N,,,Y
29132390,notass,Yes,N,A transwell assay that excludes exosomes for assessment of tunneling nanotube-mediated intercellular communication.,,N,,,N
29133512,notass,NA,Y,Exosomes From Adipose-Derived Stem Cells Attenuate Adipose Inflammation and Obesity Through Polarizing M2 Macrophages and Beiging in White Adipose Tissue.,,Y,,,Y
29133526,notass,NA,N,Involvement of Gβγ subunits of Gi protein coupled with S1P receptor on multivesicular endosomes in F-actin formation and cargo sorting into exosomes.,,N,,,N
29137230,notass,Yes,Y,Adipocyte-derived exosomes promote lung cancer metastasis by increasing MMP9 activity via transferring MMP3 to lung cancer cells.,,Y,,,Y
29137278,notass,No,N,Comprehensive microRNA-sequencing of exosomes derived from head and neck carcinoma cells in vitro reveals common secretion profiles and potential utility as salivary biomarkers.,,N,,,N
29137633,notass,NA,N,Bi-directional exosome-driven intercommunication between the hepatic niche and cancer cells.,,N,,,Y
29138862,notass,Yes,N,Liver kinase B1 restoration promotes exosome secretion and motility of lung cancer cells.,,N,,,N
29139296,notass,Yes,Y,"Differential Content of Proteins, mRNAs, and miRNAs Suggests that MDSC and Their Exosomes May Mediate Distinct Immune Suppressive Functions.",,N,,,Y
29141446,notass,Yes,Y,Myocardial reparative functions of exosomes from mesenchymal stem cells are enhanced by hypoxia treatment of the cells via transferring microRNA-210 in an nSMase2-dependent way.,,Y,,,N
29142313,notass,NA,Y,Effects of exosome on the activation of CD4+ T cells in rhesus macaques: a potential application for HIV latency reactivation.,,Y,,,Y
29145157,notass,NA,Y,BMSCs-derived miR-223-containing exosomes contribute to liver protection in experimental autoimmune hepatitis.,Y,Y,,,Y
29145622,notass,Yes,Y*,Plant extracellular vesicles are incorporated by a fungal pathogen and inhibit its growth.,Y,Y,,,N
29151592,notass,NA,N,Diet-resistant obesity is characterized by a distinct plasma proteomic signature and impaired muscle fiber metabolism.,N,N,,,N
29154990,notass,Yes,Y,Exosomes derived from human umbilical vein endothelial cells promote neural stem cell expansion while maintain their stemness in culture.,Y,Y,,,Y
29155178,notass,NA,Y,Induction of immune-related gene expression by seminal exosomes in the porcine endometrium.,,Y,,,Y
29155213,notass,NA,Y,Human umbilical vein endothelium-derived exosomes play a role in foetoplacental endothelial dysfunction in gestational diabetes mellitus.,,Y,,,Y
29156694,notass,NA,N,PDAC-derived exosomes enrich the microenvironment in MDSCs in a SMAD4-dependent manner through a new calcium related axis.,,N,,,Y
29158431,notass,NA,N,Salmonella enterica Serovar Typhimurium Alters the Extracellular Proteome of Macrophages and Leads to the Production of Proinflammatory Exosomes.,,N,,,N
29163218,notass,NA,N,Exosomes and Metabolic Function in Mice Exposed to Alternating Dark-Light Cycles Mimicking Night Shift Work Schedules.,,N,,,Y
29163228,notass,NA,Y,GMSC-Derived Exosomes Combined with a Chitosan/Silk Hydrogel Sponge Accelerates Wound Healing in a Diabetic Rat Skin Defect Model.,,Y,,,Y
29163818,notass,NA,N,Pediatric brain tumor cells release exosomes with a miRNA repertoire that differs from exosomes secreted by normal cells.,,Y,,,N
29165341,notass,Yes,Y,Extracellular Vesicles Released by Oxidatively Injured or Intact C2C12 Myotubes Promote Distinct Responses Converging toward Myogenesis.,,Y,,,N
29170447,notass,NA,Y,Monocyte-derived exosomes upon exposure to cigarette smoke condensate alter their characteristics and show protective effect against cytotoxicity and HIV-1 replication.,,Y,,,Y
29176667,notass,NA,Y,Mesenchymal stem cells derived exosomes and microparticles protect cartilage and bone from degradation in osteoarthritis.,,Y,,,Y
29178928,notass,Yes,N,MicroRNA-133 overexpression promotes the therapeutic efficacy of mesenchymal stem cells on acute myocardial infarction.,,N,,,N
29184625,notass,NA,N,Confounding factors in vesicle uptake studies using fluorescent lipophilic membrane dyes.,,N,,,N
29187541,notass,Yes,Y,Exosomes Mediate Intercellular Transmission of Porcine Reproductive and Respiratory Syndrome Virus.,,Y,,,Y
29188495,notass,No,N,Protein Biomarkers and Neuroproteomics Characterization of Microvesicles/Exosomes from Human Cerebrospinal Fluid Following Traumatic Brain Injury.,,N,,,N
29189162,notass,NA,N,Tunneling nanotubes: A versatile target for cancer therapy.,,N,,,N
29190944,notass,NA,N,Alteration of exosomes secreted from renal tubular epithelial cells exposed to high-concentration oxalate.,,N,,,N
29192155,notass,Yes,N,Trehalose significantly enhances the recovery of serum and serum exosomal miRNA from a paper-based matrix.,,N,,,N
29193463,notass,NA,N,Placental exosomes: A proxy to understand pregnancy complications.,,N,,,N
29194317,notass,Yes,Y,Gut epithelial cell-derived exosomes trigger posttrauma immune dysfunction.,,Y,,,Y
29196267,notass,NA,Y,Intrauterine exosomes are required for bovine conceptus implantation.,,Y,,,Y
29196999,notass,NA,N,Optimized Specific Isolation of Placenta-Derived Exosomes from Maternal Circulation.,,N,,,N
29197065,notass,Yes,Y,Exosomes from heat-stressed tumour cells inhibit tumour growth by converting regulatory T cells to Th17 cells via IL-6.,,Y,,,Y
29197582,notass,NA,N,Label-free quantitative proteomic profiling of colon cancer cells identifies acetyl-CoA carboxylase alpha as antitumor target of Citrus limon-derived nanovesicles.,,N,,,N
29198150,notass,NA,Y,The effect of tumor-derived exosomes on immune regulation and cancer immunotherapy.,,Y,,,Y
29198173,notass,Yes,N,Autophagy inhibition promotes SNCA/alpha-synuclein release and transfer via extracellular vesicles with a hybrid autophagosome-exosome-like phenotype.,,N,,,N
29199238,notass,NA,N,SELEX-Based Screening of Exosome-Tropic RNA.,,N,,,N
29205878,notass,No,N,Exosome-Modified Tissue Engineered Blood Vessel for Endothelial Progenitor Cell Capture and Targeted siRNA Delivery.,,N,,,Y
29209569,notass,NA,N,Resistance to HER2-targeted anti-cancer drugs is associated with immune evasion in cancer cells and their derived extracellular vesicles.,,N,,,N
29212193,notass,NA,N,MicroRNA expression profiling in exosomes derived from gastric cancer stem-like cells.,,N,,,N
29212270,notass,Yes,Y,Exosomal miR-141-3p regulates osteoblast activity to promote the osteoblastic metastasis of prostate cancer.,,Y,,,Y
29216623,notass,Yes,Y,"Exosomal MicroRNA MiR-1246 Promotes Cell Proliferation, Invasion and Drug Resistance by Targeting CCNG2 in Breast Cancer.",,Y,,,Y
29218244,notass,NA,N,Exosomal TGF-β1 is correlated with lymphatic metastasis of gastric cancers.,,N,,,Y
29221804,notass,NA,N,The Impact of the CD9 Tetraspanin on Lentivirus Infectivity and Exosome Secretion.,,N,,,N
29223442,notass,Yes,Y,Exosomes derived from imatinib-resistant chronic myeloid leukemia cells mediate a horizontal transfer of drug-resistant trait by delivering miR-365.,,Y,,,Y
29230197,notass,Yes,Y,"Exosome-Mediated Genetic Information Transfer, a Missing Piece of Osteoblast-Osteoclast Communication Puzzle.",,N,,,Y
29230885,notass,Yes,Y,Intercellular Transfer of Microvesicles from Young Mesenchymal Stromal Cells Rejuvenates Aged Murine Hematopoietic Stem Cells.,,N,,,Y
29233903,notass,NA,N,Clinical Significance of PD-L1+ Exosomes in Plasma of Head and Neck Cancer Patients.,,N,,,N
29241062,notass,Yes,N,A paper-supported aptasensor based on upconversion luminescence resonance energy transfer for the accessible determination of exosomes.,,N,,,N
29250190,notass,NA,Y*,Role of exosomes in hepatocellular carcinoma cell mobility alteration.,,Y,,,Y
29254156,notass,NA,N,The clinical significance of circulating GPC1 positive exosomes and its regulative miRNAs in colon cancer patients.,,N,,,N
29258606,notass,NA,N,Inflammation-associated microRNA changes in circulating exosomes of heart failure patients.,,N,,,N
29259699,notass,Yes,Y,Immunosuppressive effect of mesenchymal stem cell-derived exosomes on a concanavalin A-induced liver injury model.,,Y,,,Y
29269240,notass,Yes,Y,Exosomes from mesenchymal stromal cells enhance imatinib-induced apoptosis in human leukemia cells via activation of caspase signaling pathway.,,Y,,,Y
29270420,notass,NA,N,Stem Cell Ophthalmology Treatment Study: bone marrow derived stem cells in the treatment of non-arteritic ischemic optic neuropathy (NAION).,,N,,,N
29273013,notass,Yes,N,A next generation sequencing based approach to identify extracellular vesicle mediated mRNA transfers between cells.,,N,,,N
29274250,notass,NA,Y,An Exosome-Based Vaccine Platform Imparts Cytotoxic T Lymphocyte Immunity Against Viral Antigens.,,N,,,Y
29274344,notass,NA,N,Calcium phosphate particles stimulate interleukin-1β release from human vascular smooth muscle cells: A role for spleen tyrosine kinase and exosome release.,,N,,,Y
29277269,notass,NA,N,Chromosome 19 microRNAs exert antiviral activity independent from type III interferon signaling.,,N,,,N
29277503,notass,Yes,Y,Mesenchymal stem cell exosomes promote immunosuppression of regulatory T cells in asthma.,,Y,,,Y
29281806,notass,NA,N,Stem cell-inspired secretome-rich injectable hydrogel to repair injured cardiac tissue.,,N,,,N
29282521,notass,Yes,Y,Engineered exosomes emerging from muscle cells break immune tolerance to HER2 in transgenic mice and induce antigen-specific CTLs upon challenge by human dendritic cells.,,Y,,,Y
29283887,notass,NA,Y,Exosomal microRNAs derived from colorectal cancer-associated fibroblasts: role in driving cancer progression.,,N,,,Y
29285843,notass,NA,Y,Exosomes serve as nanoparticles to suppress tumor growth and angiogenesis in gastric cancer by delivering hepatocyte growth factor siRNA.,,Y,,,Y
29290284,notass,Yes,Y,Oral cancer-derived exosomal NAP1 enhances cytotoxicity of natural killer cells via the IRF-3 pathway.,,Y,,,Y
29290800,notass,Yes,Y,Exosomes from human umbilical cord blood accelerate cutaneous wound healing through miR-21-3p-mediated promotion of angiogenesis and fibroblast function.,,N,,,Y
29292863,notass,NA,Y,Extracellular Vesicles from Hypoxic Adipocytes and Obese Subjects Reduce Insulin-Stimulated Glucose Uptake.,,Y,,,Y
29293592,notass,NA,Y,Intravenously delivered mesenchymal stem cell-derived exosomes target M2-type macrophages in the injured spinal cord.,,N,,,Y
29295871,notass,Yes,Y,Exosomal CCL2 from Tubular Epithelial Cells Is Critical for Albumin-Induced Tubulointerstitial Inflammation.,,Y,,,Y
29296725,notass,Yes,Y,Replenishing exosomes from older bone marrow stromal cells with miR-340 inhibits myeloma-related angiogenesis.,,Y,,,N
29296848,notass,Yes,Y,Enhanced liver gene transfer and evasion of preexisting humoral immunity with exosome-enveloped AAV vectors.,,N,,,Y
29297241,notass,No,N,Exosomal small RNA sequencing uncovers the microRNA dose markers for power frequency electromagnetic field exposure.,,N,,,N
29297621,notass,Yes,Y,Amnion Epithelial Cell-Derived Exosomes Restrict Lung Injury and Enhance Endogenous Lung Repair.,,Y,,,Y
29299115,notass,No,N,Extracellular miR-224 as a prognostic marker for clear cell renal cell carcinoma.,,N,,,N
29299993,notass,NA,N,Exosomes in Cholesterol Metabolism and Atherosclerosis.,,N,,,Y
29301753,notass,NA,Y,Exosomes Associated with Human Ovarian Tumors Harbor a Reversible Checkpoint of T-cell Responses.,,N,,,Y
29306323,notass,NA,N,Mechanism of recipient cell-dependent differences in exosome uptake.,,N,,,N
29310666,notass,NA,Y,In vivo evidence for the contribution of peripheral circulating inflammatory exosomes to neuroinflammation.,Y,Y,,,Y
29311920,notass,Yes,N,Modulation of miR-26a-5p and miR-15b-5p Exosomal Expression Associated with Clopidogrel-Induced Hepatotoxicity in HepG2 Cells.,N,N,,,N
29312130,notass,NA,N,Plasma Exosomes and Improvements in Endothelial Function by Angiotensin 2 Type 1 Receptor or Cyclooxygenase 2 Blockade following Intermittent Hypoxia.,,N,,,N
29312296,notass,Yes,N,Novel Therapy for Glioblastoma Multiforme by Restoring LRRC4 in Tumor Cells: LRRC4 Inhibits Tumor-Infitrating Regulatory T Cells by Cytokine and Programmed Cell Death 1-Containing Exosomes.,,N,,,Y
29312490,notass,NA,Y,Exosomes derived from cardiac telocytes exert positive effects on endothelial cells.,,Y,,,Y
29316217,notass,Yes,Y,Exosomes expressing the self-antigens myosin and vimentin play an important role in syngeneic cardiac transplant rejection induced by antibodies to cardiac myosin.,,Y,,,Y
29316942,notass,NA,N,Comparison of membrane affinity-based method with size-exclusion chromatography for isolation of exosome-like vesicles from human plasma.,,N,,,N
29320704,notass,NA,Y,Extracellular Vesicles Provide a Means for Tissue Crosstalk during Exercise.,,N,,,Y
29321591,notass,NA,N,Respiratory Syncytial Virus Infection Changes Cargo Composition of Exosome Released from Airway Epithelial Cells.,,N,,,N
29326054,notass,NA,N,Size-based separation methods of circulating tumor cells.,,N,,,N
29328436,notass,NA,N,Role of exosomes and exosomal microRNAs in hepatocellular carcinoma: Potential in diagnosis and antitumour treatments (Review).,,N,,,Y
29328492,notass,NA,Y,Exosomes derived from oxidized LDL-stimulated macrophages attenuate the growth and tube formation of endothelial cells.,,Y,,,Y
29328915,notass,NA,N,Retrovirus-like Gag Protein Arc1 Binds RNA and Traffics across Synaptic Boutons.,,N,,,N
29328916,notass,Yes,N,The Neuronal Gene Arc Encodes a Repurposed Retrotransposon Gag Protein that Mediates Intercellular RNA Transfer.,,N,,,N
